Gene Name,Index
1700110C19Rik,290
1700110K17Rik,291
1700112D23Rik,292
1700112J16Rik,293
1700113A16Rik,294
1700113B09Rik,295
1700113H08Rik,296
1700116B05Rik,297
1700116H05Rik,298
1700119H24Rik,299
1700120C14Rik,300
1700120G07Rik,301
1700120G11Rik,302
1700120K04Rik,303
1700121C08Rik,304
1700121L03Rik,305
1700122E12Rik,306
1700123J17Rik,307
1700123K08Rik,308
1700123L14Rik,309
1700123M08Rik,310
1700123O20Rik,311
1700124L16Rik,312
1700125G22Rik,313
1700125H03Rik,314
1700125H20Rik,315
1700126G02Rik,316
1700128A07Rik,317
1700129L04Rik,318
1810006J02Rik,319
1810007D17Rik,320
1810009A15Rik,321
1810010H24Rik,322
1810010K12Rik,323
1810012K16Rik,324
1810013D15Rik,325
1810013L24Rik,326
1810014P07Rik,327
1810019D21Rik,328
1810019N24Rik,329
1810020O05Rik,330
1810021B22Rik,331
1810024B03Rik,332
1810026B05Rik,333
1810028F09Rik,334
1810030O07Rik,335
1810034E14Rik,336
1810037I17Rik,337
1810041H14Rik,338
1810044D09Rik,339
1810049I09Rik,340
1810053B23Rik,341
1810055G02Rik,342
1810058I24Rik,343
1810059C17Rik,344
1810059H22Rik,345
1810062G17Rik,346
1810062O18Rik,347
1810063I02Rik,348
1810064F22Rik,349
1810073O08Rik,350
2010001A14Rik,351
2010001K21Rik,352
2010001M07Rik,353
2010003K11Rik,354
2010007H06Rik,355
2010013B24Rik,356
2010016I18Rik,357
2010106E10Rik,358
2010106G04Rik,359
2010109A12Rik,360
2010110E17Rik,361
2010110K18Rik,362
2010204K13Rik,363
2010300C02Rik,364
2010308F09Rik,365
2010315B03Rik,366
2010320M18Rik,367
2010320O07Rik,368
2200002D01Rik,369
2210010C04Rik,370
2210011C24Rik,371
2210016F16Rik,372
2210016L21Rik,373
2210039B01Rik,374
2210404E10Rik,375
2210406O10Rik,376
2210407C18Rik,377
2210408F21Rik,378
2210408I21Rik,379
2210409D07Rik,380
2210417A02Rik,381
2300002M23Rik,382
2300009A05Rik,383
2310001H17Rik,384
2310001K24Rik,385
2310002D06Rik,386
2310002F09Rik,387
2310002L09Rik,388
2310003N18Rik,389
2310005A03Rik,390
2310008N11Rik,391
2310009A05Rik,392
2310009B15Rik,393
2310010J17Rik,394
2310011J03Rik,395
2310014F06Rik,396
2310015A10Rik,397
2310015A16Rik,398
2310015D24Rik,399
2310015K22Rik,400
2310016G11Rik,401
2310020H05Rik,402
2310022A10Rik,403
2310022B05Rik,404
2310026I22Rik,405
2310026L22Rik,406
2310030A07Rik,407
2310030G06Rik,408
2310033P09Rik,409
2310034G01Rik,410
2310034O05Rik,411
2310039H08Rik,412
2310039L15Rik,413
2310040G24Rik,414
2310043L19Rik,415
2310043M15Rik,416
2310043O21Rik,417
2310046K23Rik,418
2310047D07Rik,419
2310057M21Rik,420
2310058D17Rik,421
2310061I04Rik,422
2310065F04Rik,423
2310068J16Rik,424
2310074N15Rik,425
2310075C17Rik,426
2410002F23Rik,427
2410003L11Rik,428
2410004B18Rik,429
2410004I01Rik,430
2410004P03Rik,431
2410006H16Rik,432
2410018L13Rik,433
2410022M11Rik,434
2410080I02Rik,435
2410124H12Rik,436
2410131K14Rik,437
2410137M14Rik,438
2500002B13Rik,439
2500004C02Rik,440
2510002D24Rik,441
2510009E07Rik,442
2510017J16Rik,443
2510039O18Rik,444
2510046G10Rik,445
2600002D14Rik,446
2600006K01Rik,447
2600014E21Rik,448
2610001J05Rik,449
2610002M06Rik,450
